Start,End,,,MEPs,Duration,Time in Zone,Average Effort,Average Heart Rate,Calories,Peak Heart Rate,Date,Zone 0 Mins,Zone 1 Mins,Zone 2 Mins,Zone 3 Mins,Zone 4 Mins,Zone 5 Mins,Zone 0 MEPs,Zone 1 MEPs,Zone 2 MEPs,Zone 3 MEPs,Zone 4 MEPs,Zone 5 MEPs,Class,
5:30 PM,6:29 PM,Session w. Jesse,1602889,164,59,54,72%,141,886,171,2019-01-28,1,4,14,28,12,0,0,4,28,84,48,0,0

Time,hr
2019-01-28 17:30,110
2019-01-28 17:31,104
2019-01-28 17:32,108
2019-01-28 17:33,103
2019-01-28 17:34,105
2019-01-28 17:35,128
2019-01-28 17:36,137
2019-01-28 17:37,136
2019-01-28 17:38,139
2019-01-28 17:39,141
2019-01-28 17:40,120
2019-01-28 17:41,110
2019-01-28 17:42,129
2019-01-28 17:43,132
2019-01-28 17:44,159
2019-01-28 17:45,158
2019-01-28 17:46,148
2019-01-28 17:47,133
2019-01-28 17:48,154
2019-01-28 17:49,150
2019-01-28 17:50,150
2019-01-28 17:51,163
2019-01-28 17:52,153
2019-01-28 17:53,149
2019-01-28 17:54,131
2019-01-28 17:55,131
2019-01-28 17:56,142
2019-01-28 17:57,155
2019-01-28 17:58,159
2019-01-28 17:59,160
2019-01-28 18:00,146
2019-01-28 18:01,135
2019-01-28 18:02,140
2019-01-28 18:03,150
2019-01-28 18:04,146
2019-01-28 18:05,151
2019-01-28 18:06,147
2019-01-28 18:07,154
2019-01-28 18:08,141
2019-01-28 18:09,128
2019-01-28 18:10,133
2019-01-28 18:11,150
2019-01-28 18:12,151
2019-01-28 18:13,156
2019-01-28 18:14,154
2019-01-28 18:15,153
2019-01-28 18:16,148
2019-01-28 18:17,145
2019-01-28 18:18,145
2019-01-28 18:19,149
2019-01-28 18:20,152
2019-01-28 18:21,157
2019-01-28 18:22,167
2019-01-28 18:23,151
2019-01-28 18:24,131
2019-01-28 18:25,126
2019-01-28 18:26,121
2019-01-28 18:27,121
2019-01-28 18:28,128
2019-01-28 18:29,132

Start,End,,,MEPs,Duration,Time in Zone,Average Effort,Average Heart Rate,Calories,Peak Heart Rate,Date,Zone 0 Mins,Zone 1 Mins,Zone 2 Mins,Zone 3 Mins,Zone 4 Mins,Zone 5 Mins,Zone 0 MEPs,Zone 1 MEPs,Zone 2 MEPs,Zone 3 MEPs,Zone 4 MEPs,Zone 5 MEPs,Class,
5:56 AM,7:37 AM,Blitz,1602889,270,101,86,71%,138,1430,173,2019-01-26,10,5,18,43,25,0,0,5,36,129,100,0,0

Time,hr
2019-01-26 05:56,103
2019-01-26 05:57,98
2019-01-26 05:58,75
2019-01-26 05:59,80
2019-01-26 06:00,78
2019-01-26 06:01,83
2019-01-26 06:02,113
2019-01-26 06:03,121
2019-01-26 06:04,90
2019-01-26 06:05,93
